fips,state,year,month,population,unemployment,date,code,minwage,fedminwage,cpi,change,gdp
16,idaho,1976,3,583000.0,5.6,1976-03-01,ID,7.27,10.0,56.9,0.5399999999999991,
17,illinois,1976,3,8146000.0,6.6,1976-03-01,IL,9.55,10.0,56.9,2.8200000000000003,
18,indiana,1976,3,3797000.0,6.5,1976-03-01,IN,5.68,10.0,56.9,-0.33,
19,iowa,1976,3,2072000.0,4.3,1976-03-01,IA,0.0,10.0,56.9,0.0,
20,kansas,1976,3,1640000.0,4.2,1976-03-01,KS,0.0,10.0,56.9,0.0,
21,kentucky,1976,3,2470000.0,5.6,1976-03-01,KY,7.27,10.0,56.9,4.14,
22,louisiana,1976,3,2685000.0,6.3,1976-03-01,LA,0.0,10.0,56.9,0.0,
23,maine,1976,3,767000.0,8.6,1976-03-01,ME,10.46,10.0,56.9,3.73,
24,maryland,1976,3,2962000.0,6.4,1976-03-01,MD,10.0,10.0,56.9,2.31,
25,massachusetts,1976,3,4201000.0,10.5,1976-03-01,MA,9.55,10.0,56.9,1.1400000000000006,
26,michigan,1976,3,6430000.0,9.9,1976-03-01,MI,10.0,10.0,56.9,2.31,
27,minnesota,1976,3,2797000.0,5.9,1976-03-01,MN,8.18,10.0,56.9,4.57,
28,mississippi,1976,3,1647000.0,6.6,1976-03-01,MS,0.0,10.0,56.9,0.0,
29,missouri,1976,3,3473000.0,5.9,1976-03-01,MO,0.0,10.0,56.9,0.0,
30,montana,1976,3,533000.0,5.8,1976-03-01,MT,8.18,10.0,56.9,0.4899999999999993,
31,nebraska,1976,3,1097000.0,3.3,1976-03-01,NE,7.27,10.0,56.9,2.46,
32,nevada,1976,3,456000.0,9.2,1976-03-01,NV,10.0,10.0,56.9,2.31,
33,new hampshire,1976,3,596000.0,6.5,1976-03-01,NH,10.0,10.0,56.9,2.31,
34,new jersey,1976,3,5367000.0,10.3,1976-03-01,NJ,10.0,10.0,56.9,2.79,
35,new mexico,1976,3,798000.0,8.7,1976-03-01,NM,9.09,10.0,56.9,2.84,
36,new york,1976,3,13207000.0,10.2,1976-03-01,NY,10.46,10.0,56.9,1.5700000000000005,
51000,new york city,1976,3,5690000.0,11.2,1976-03-01,,,,,,
37,north carolina,1976,3,3912000.0,6.4,1976-03-01,NC,9.09,10.0,56.9,2.12,
38,north dakota,1976,3,444000.0,3.4,1976-03-01,ND,9.09,10.0,56.9,4.28,
39,ohio,1976,3,7711000.0,8.1,1976-03-01,OH,7.27,10.0,56.9,3.66,
40,oklahoma,1976,3,2007000.0,5.8,1976-03-01,OK,8.18,10.0,56.9,1.4499999999999993,
41,oregon,1976,3,1724000.0,9.4,1976-03-01,OR,10.46,10.0,56.9,4.450000000000001,
42,pennsylvania,1976,3,8786000.0,8.1,1976-03-01,PA,10.0,10.0,56.9,2.31,
44,rhode island,1976,3,693000.0,7.7,1976-03-01,RI,10.46,10.0,56.9,2.7700000000000005,
45,south carolina,1976,3,1992000.0,7.3,1976-03-01,SC,0.0,10.0,56.9,0.0,
46,south dakota,1976,3,478000.0,3.2,1976-03-01,SD,9.09,10.0,56.9,4.28,
47,tennessee,1976,3,3091000.0,6.0,1976-03-01,TN,0.0,10.0,56.9,0.0,
48,texas,1976,3,8870000.0,5.9,1976-03-01,TX,6.36,10.0,56.9,-0.3700000000000001,
49,utah,1976,3,828000.0,5.8,1976-03-01,UT,7.05,10.0,56.9,1.2800000000000002,
50,vermont,1976,3,341000.0,8.6,1976-03-01,VT,10.46,10.0,56.9,2.7700000000000005,
51,virginia,1976,3,3551000.0,6.1,1976-03-01,VA,9.09,10.0,56.9,9.09,
53,washington,1976,3,2611000.0,8.4,1976-03-01,WA,10.0,10.0,56.9,2.31,
54,west virginia,1976,3,1358000.0,7.5,1976-03-01,WV,9.09,10.0,56.9,3.3200000000000003,
55,wisconsin,1976,3,3252000.0,5.7,1976-03-01,WI,9.55,10.0,56.9,2.580000000000001,
56,wyoming,1976,3,272000.0,4.1,1976-03-01,WY,7.27,10.0,56.9,0.0599999999999996,
1,alabama,1976,4,2620000.0,6.5,1976-04-01,AL,0.0,10.0,56.9,0.0,
2,alaska,1976,4,237000.0,6.9,1976-04-01,AK,12.73,10.0,56.9,2.630000000000001,
4,arizona,1976,4,1636000.0,10.0,1976-04-01,AZ,0.0,10.0,56.9,-2.25,
5,arkansas,1976,4,1541000.0,7.2,1976-04-01,AR,8.64,10.0,56.9,2.870000000000001,
6,california,1976,4,15731000.0,9.1,1976-04-01,CA,9.09,10.0,56.9,1.16,
37,los angeles county,1976,4,5302000.0,8.7,1976-04-01,,,,,,
8,colorado,1976,4,1846000.0,5.6,1976-04-01,CO,4.55,10.0,56.9,-0.2599999999999998,
9,connecticut,1976,4,2255000.0,9.6,1976-04-01,CT,10.05,10.0,56.9,1.16,
10,delaware,1976,4,419000.0,8.1,1976-04-01,DE,9.09,10.0,56.9,1.3999999999999997,
11,district of columbia,1976,4,518000.0,8.5,1976-04-01,DC,10.23,10.0,56.9,2.54,
12,florida,1976,4,6468000.0,9.5,1976-04-01,FL,0.0,10.0,56.9,0.0,
13,georgia,1976,4,3540000.0,8.3,1976-04-01,GA,5.68,10.0,56.9,-0.33,
15,hawaii,1976,4,588000.0,9.7,1976-04-01,HI,10.91,10.0,56.9,3.22,
16,idaho,1976,4,585000.0,5.6,1976-04-01,ID,7.27,10.0,56.9,0.5399999999999991,
17,illinois,1976,4,8155000.0,6.6,1976-04-01,IL,9.55,10.0,56.9,2.8200000000000003,
18,indiana,1976,4,3801000.0,6.3,1976-04-01,IN,5.68,10.0,56.9,-0.33,
19,iowa,1976,4,2075000.0,4.2,1976-04-01,IA,0.0,10.0,56.9,0.0,
20,kansas,1976,4,1642000.0,4.2,1976-04-01,KS,0.0,10.0,56.9,0.0,
