                               Labor Force Data by County, 1993 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                1993        18,170       17,098      1,072      5.9
CN0100300000000   01     003   Baldwin County, AL                                1993        54,891       51,633      3,258      5.9
CN0100500000000   01     005   Barbour County, AL                                1993        11,953       10,763      1,190     10.0
CN0100700000000   01     007   Bibb County, AL                                   1993         7,700        6,817        883     11.5
CN0100900000000   01     009   Blount County, AL                                 1993        19,862       18,823      1,039      5.2
CN0101100000000   01     011   Bullock County, AL                                1993         4,155        3,547        608     14.6
CN0101300000000   01     013   Butler County, AL                                 1993         9,177        8,189        988     10.8
CN0101500000000   01     015   Calhoun County, AL                                1993        52,616       48,089      4,527      8.6
CN0101700000000   01     017   Chambers County, AL                               1993        17,400       15,750      1,650      9.5
CN0101900000000   01     019   Cherokee County, AL                               1993         9,652        9,054        598      6.2
CN0102100000000   01     021   Chilton County, AL                                1993        16,277       14,848      1,429      8.8
CN0102300000000   01     023   Choctaw County, AL                                1993         7,219        6,202      1,017     14.1
CN0102500000000   01     025   Clarke County, AL                                 1993        12,947       11,420      1,527     11.8
CN0102700000000   01     027   Clay County, AL                                   1993         6,724        6,033        691     10.3
CN0102900000000   01     029   Cleburne County, AL                               1993         6,967        6,507        460      6.6
CN0103100000000   01     031   Coffee County, AL                                 1993        20,795       19,547      1,248      6.0
CN0103300000000   01     033   Colbert County, AL                                1993        25,564       23,458      2,106      8.2
CN0103500000000   01     035   Conecuh County, AL                                1993         6,290        5,653        637     10.1
CN0103700000000   01     037   Coosa County, AL                                  1993         5,124        4,811        313      6.1
CN0103900000000   01     039   Covington County, AL                              1993        16,884       15,337      1,547      9.2
CN0104100000000   01     041   Crenshaw County, AL                               1993         5,937        5,470        467      7.9
CN0104300000000   01     043   Cullman County, AL                                1993        35,198       32,943      2,255      6.4
CN0104500000000   01     045   Dale County, AL                                   1993        20,872       19,025      1,847      8.8
CN0104700000000   01     047   Dallas County, AL                                 1993        20,318       17,319      2,999     14.8
CN0104900000000   01     049   DeKalb County, AL                                 1993        29,378       27,426      1,952      6.6
CN0105100000000   01     051   Elmore County, AL                                 1993        24,657       23,169      1,488      6.0
CN0105300000000   01     053   Escambia County, AL                               1993        16,099       14,509      1,590      9.9
CN0105500000000   01     055   Etowah County, AL                                 1993        47,378       43,763      3,615      7.6
CN0105700000000   01     057   Fayette County, AL                                1993         8,718        7,922        796      9.1
CN0105900000000   01     059   Franklin County, AL                               1993        15,240       14,112      1,128      7.4
CN0106100000000   01     061   Geneva County, AL                                 1993        12,092       11,375        717      5.9
CN0106300000000   01     063   Greene County, AL                                 1993         3,713        3,166        547     14.7
CN0106500000000   01     065   Hale County, AL                                   1993         6,946        6,270        676      9.7
CN0106700000000   01     067   Henry County, AL                                  1993         6,527        5,891        636      9.7
CN0106900000000   01     069   Houston County, AL                                1993        42,253       39,362      2,891      6.8
CN0107100000000   01     071   Jackson County, AL                                1993        25,762       23,289      2,473      9.6
CN0107300000000   01     073   Jefferson County, AL                              1993       317,054      299,295     17,759      5.6
CN0107500000000   01     075   Lamar County, AL                                  1993         7,825        7,087        738      9.4
CN0107700000000   01     077   Lauderdale County, AL                             1993        40,407       37,542      2,865      7.1
