county_fips,year,d_votes,r_votes
01001,2000,28.71920037192004,69.69432821943282
01001,2004,23.69403914147702,75.67352223494845
01001,2008,25.773021445793326,73.61363732498624
01001,2012,26.58783219120842,72.61825171318736
01001,2016,23.76967124494454,72.76658791494815
01001,2020,27.018365142239826,71.4368023046453
01003,2000,24.782223796033996,72.36543909348441
01003,2004,22.502885170225042,76.41517599538373
01003,2008,23.811921928930268,75.25947944431479
01003,2012,21.58944432726335,77.35826946963837
01003,2016,19.3856010082445,76.5457123352413
01003,2020,22.409029987509005,76.17137282433283
01005,2000,49.90860990860991,49.023569023569024
01005,2004,44.83622529460889,54.73693977915932
01005,2008,48.9853826311264,50.43852106620809
01005,2012,51.36849422191329,48.223129724563385
01005,2016,46.52784411118541,52.09666634826631
01005,2020,45.78817265639856,53.45122646891044
01007,2000,38.1636389240952,60.17462329249401
01007,2004,27.48684210526316,72.0
01007,2008,26.59648310967145,72.44331328088847
01007,2012,26.152019002375297,72.82660332541568
01007,2016,21.249574781721282,76.40322031976415
01007,2020,20.698280354351226,78.42626367899948
01009,2000,27.691537305958942,70.4779391309186
01009,2004,18.312872023809522,80.85007440476191
01009,2008,14.513536901965631,84.01945028227634
01009,2012,12.371907023244189,86.46588352911772
01009,2016,8.425824605283728,89.33484445833984
01009,2020,9.569377990430622,89.5715528490648
01011,2000,69.22920065252855,29.221044045676997
01011,2004,68.05172779308883,31.672673309306766
01011,2008,74.07202216066482,25.687903970452446
01011,2012,76.30590003757986,23.50620067643743
01011,2016,74.94692144373673,24.203821656050955
01011,2020,74.70192933015392,24.842835464990245
01013,2000,46.21299500192234,52.88991413558888
01013,2004,40.5537072243346,59.161121673003805
01013,2008,43.13523534864559,56.49397466268411
01013,2012,46.06149957877001,53.56992417860151
01013,2016,42.67063673843335,56.12688960146587
01013,2020,41.78962900505902,57.52529510961214
01015,2000,40.55873962322342,57.32863861831453
01015,2004,33.33333333333333,65.88874892262812
01015,2008,33.1708703951911,65.69188903781324
01015,2012,33.532222150161054,65.45603908597619
01015,2016,27.665886678923616,68.66329600534849
01015,2020,29.845242531824333,68.84843967597043
01017,2000,47.45648132499578,51.01402737873922
01017,2004,41.02977286678944,58.48680171884592
01017,2008,45.46001604707141,53.93821877507355
01017,2012,47.02621312709602,52.19355280268291
01017,2016,41.611510791366904,56.42446043165468
01017,2020,41.644857367181366,57.26903951845067
01019,2000,44.70152115556692,53.09983382334143
01019,2004,33.594872361586916,65.45474638081556
01019,2008,23.66341713699333,74.88968701898409
01019,2012,21.80182022701708,76.75631455159014
01019,2016,14.413491102208143,83.41563402590143
01019,2020,13.202178684659785,86.03365580034144
01021,2000,31.84468592631858,66.69758812615956
01021,2004,22.632241059126578,76.85257293476307
01021,2008,20.657857745290976,78.49311217317964
01021,2012,19.453670828083837,79.78467529492612
01021,2016,15.847351516141325,82.10027764167891
01021,2020,15.91403417918177,83.29880890730192
01023,2000,50.27122321670735,48.82017900732303
01023,2004,45.70361145703611,53.9227895392279
01023,2008,46.060298961236384,53.49632632379022
01023,2012,47.515060240963855,52.108433734939766
01023,2016,42.63576522216127,56.30828304991772
01023,2020,41.89442658092176,57.556270096463024
01025,2000,43.51748511904761,55.69196428571429
01025,2004,40.6090925048271,59.066175179919256
01025,2008,44.019352437662825,55.57126907331597
01025,2012,45.72955021298101,53.9311241065627
01025,2016,44.11787276494513,54.79241807996317
01025,2020,43.81423677198325,55.75942139322421
01027,2000,34.761176270610235,63.21604623491416
01027,2004,28.786496350364963,70.31630170316302
01027,2008,25.810236105000733,73.08989587916118
01027,2012,26.673671570099067,72.30561392975082
01027,2016,18.67451690821256,79.18176328502415
01027,2020,18.282828282828284,80.82251082251082
01029,2000,32.67871170463472,65.45561665357424
01029,2004,23.99103139013453,75.37081752328389
01029,2008,17.991373998767717,80.34504004929144
01029,2012,15.400475812846947,83.6161776367962
01029,2016,10.37463976945245,87.42605794023964
01029,2020,9.339975093399751,89.71910889719109
01031,2000,33.821433199429826,64.39030711416353
01031,2004,25.431425976385103,73.9044050862852
01031,2008,25.233505564387915,74.1206279809221
01031,2012,24.911482043500254,74.1831057157309
01031,2016,20.325516444358836,76.44339577213849
01031,2020,22.78787878787879,75.86531986531988
01033,2000,48.964332156789894,48.84822589634033
01033,2004,44.278253603509505,55.09922707332359
01033,2008,39.05727971662037,59.32858350440768
01033,2012,39.19606585418003,59.59375668163352
01033,2016,29.34778246036524,67.21252257676099
01033,2020,29.91823854263788,68.8625116545937
01035,2000,50.13511079084849,48.62186993334534
01035,2004,45.158611526324535,54.32652383325029
01035,2008,49.387872677516924,49.97839550626531
01035,2012,50.62660210766163,48.97465109655369
01035,2016,46.77296886864085,51.93621867881549
01035,2020,46.04875019406924,53.43890700201832
01037,2000,46.069629954017955,52.15677687760017
01037,2004,41.09178164367127,58.08838232353529
01037,2008,40.8592486068668,58.385763077476184
01037,2012,41.582843044220915,57.86676788764471
01037,2016,33.92993145468393,64.37547600913938
01037,2020,32.779704325606865,66.27121737543348
01039,2000,32.61588187761698,65.82678322192022
01039,2004,23.40192794147809,76.01695494633212
01039,2008,20.523215303730918,78.82434914803319
01039,2012,20.475912598067822,78.79789924139273
01039,2016,14.974905897114176,83.23086574654957
01039,2020,15.611015490533564,83.68330464716007
01041,2000,40.33368091762252,58.24817518248175
01041,2004,30.872727272727275,68.67272727272727
01041,2008,30.805913209346684,68.65363217294548
01041,2012,31.941414770956683,67.48208164537239
01041,2016,26.55177916068294,72.0121270145205
01041,2020,25.691400936980507,73.50763185733716
