                               Labor Force Data by County, 2004 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2004        23,241       22,146      1,095      4.7
CN0100300000000   01     003   Baldwin County, AL                                2004        74,843       71,061      3,782      5.1
CN0100500000000   01     005   Barbour County, AL                                2004        10,639        9,884        755      7.1
CN0100700000000   01     007   Bibb County, AL                                   2004         8,851        8,375        476      5.4
CN0100900000000   01     009   Blount County, AL                                 2004        26,237       25,149      1,088      4.1
CN0101100000000   01     011   Bullock County, AL                                2004         3,879        3,437        442     11.4
CN0101300000000   01     013   Butler County, AL                                 2004         9,090        8,240        850      9.4
CN0101500000000   01     015   Calhoun County, AL                                2004        54,074       51,164      2,910      5.4
CN0101700000000   01     017   Chambers County, AL                               2004        16,617       15,468      1,149      6.9
CN0101900000000   01     019   Cherokee County, AL                               2004        12,072       11,501        571      4.7
CN0102100000000   01     021   Chilton County, AL                                2004        19,650       18,738        912      4.6
CN0102300000000   01     023   Choctaw County, AL                                2004         5,465        5,002        463      8.5
CN0102500000000   01     025   Clarke County, AL                                 2004        10,395        9,483        912      8.8
CN0102700000000   01     027   Clay County, AL                                   2004         5,894        5,525        369      6.3
CN0102900000000   01     029   Cleburne County, AL                               2004         6,689        6,340        349      5.2
CN0103100000000   01     031   Coffee County, AL                                 2004        20,240       19,173      1,067      5.3
CN0103300000000   01     033   Colbert County, AL                                2004        24,766       23,030      1,736      7.0
CN0103500000000   01     035   Conecuh County, AL                                2004         5,063        4,639        424      8.4
CN0103700000000   01     037   Coosa County, AL                                  2004         4,914        4,569        345      7.0
CN0103900000000   01     039   Covington County, AL                              2004        17,185       16,051      1,134      6.6
CN0104100000000   01     041   Crenshaw County, AL                               2004         5,822        5,428        394      6.8
CN0104300000000   01     043   Cullman County, AL                                2004        38,522       36,544      1,978      5.1
CN0104500000000   01     045   Dale County, AL                                   2004        20,524       19,439      1,085      5.3
CN0104700000000   01     047   Dallas County, AL                                 2004        16,375       14,754      1,621      9.9
CN0104900000000   01     049   DeKalb County, AL                                 2004        32,081       30,251      1,830      5.7
CN0105100000000   01     051   Elmore County, AL                                 2004        33,317       31,718      1,599      4.8
